Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.001786,280558,124187
10000,2,0.001781,280230,124066
10000,3,0.001794,280461,124114
10000,4,0.001808,280354,124162
10000,5,0.001826,280590,124164
10000,6,0.001838,280477,124156
10000,7,0.001882,280144,124037
10000,8,0.001876,280617,124206
10000,9,0.001832,280653,124234
10000,10,0.001802,280474,124169
20000,1,0.003876,610783,268149
20000,2,0.003875,610957,268276
20000,3,0.003895,610770,268233
20000,4,0.003891,611278,268373
20000,5,0.003874,611470,268531
20000,6,0.003874,611458,268416
20000,7,0.003877,611050,268295
20000,8,0.003876,610977,268224
20000,9,0.003867,611349,268459
20000,10,0.003879,611396,268507
30000,1,0.006072,960388,419851
30000,2,0.006082,960230,419894
30000,3,0.006067,960545,419862
30000,4,0.006094,961204,420085
30000,5,0.006086,960579,419868
30000,6,0.006077,960847,419913
30000,7,0.006076,959866,419729
30000,8,0.006077,960727,419934
30000,9,0.006092,960905,420009
30000,10,0.006102,960343,419981
40000,1,0.008354,1322215,576870
40000,2,0.008368,1321827,576563
40000,3,0.008356,1322485,576872
40000,4,0.008331,1322125,576800
40000,5,0.008353,1322530,576807
40000,6,0.008350,1322427,576786
40000,7,0.008374,1322536,576815
40000,8,0.008370,1322024,576807
40000,9,0.008375,1323040,577048
40000,10,0.008364,1322934,577012
50000,1,0.010696,1693505,737160
50000,2,0.010712,1693535,737320
50000,3,0.010711,1693779,737438
50000,4,0.010699,1693341,737201
50000,5,0.010713,1693862,737371
50000,6,0.010741,1694076,737394
50000,7,0.010685,1693355,737179
50000,8,0.010670,1693994,737424
50000,9,0.010662,1692618,736876
50000,10,0.010665,1693229,737123
60000,1,0.013051,2071336,899973
60000,2,0.013060,2071043,899874
60000,3,0.013052,2070904,899713
60000,4,0.013043,2071091,899647
60000,5,0.013032,2070944,899755
60000,6,0.013071,2071203,899766
60000,7,0.013057,2070734,899558
60000,8,0.013033,2071598,899964
60000,9,0.013055,2071109,899732
60000,10,0.013054,2071654,899955
70000,1,0.015491,2455330,1064728
70000,2,0.015474,2455737,1065152
70000,3,0.015462,2455203,1064840
70000,4,0.015484,2455778,1065009
70000,5,0.015465,2454660,1064657
70000,6,0.015477,2455434,1064942
70000,7,0.015469,2454956,1064718
70000,8,0.015461,2454733,1064547
70000,9,0.015482,2454893,1064678
70000,10,0.015464,2454705,1064786
80000,1,0.017914,2844781,1233565
80000,2,0.017911,2844870,1233691
80000,3,0.017896,2844499,1233603
80000,4,0.017897,2845026,1233687
80000,5,0.017917,2845009,1233792
80000,6,0.017915,2844649,1233410
80000,7,0.017906,2845173,1233710
80000,8,0.017904,2844688,1233705
80000,9,0.017880,2844774,1233592
80000,10,0.017917,2844396,1233322
90000,1,0.020381,3238980,1403581
90000,2,0.020404,3238816,1403580
90000,3,0.020379,3238417,1403641
90000,4,0.020402,3239413,1403853
90000,5,0.020405,3238876,1403630
90000,6,0.020391,3239228,1403690
90000,7,0.020425,3238361,1403468
90000,8,0.020387,3238726,1403478
90000,9,0.020424,3239772,1403888
90000,10,0.020408,3240865,1404300
100000,1,0.022924,3638914,1575141
100000,2,0.022925,3638588,1575007
100000,3,0.022916,3638497,1575017
100000,4,0.022916,3637967,1574987
100000,5,0.022924,3638323,1574838
100000,6,0.022908,3638057,1575046
100000,7,0.022904,3638799,1575290
100000,8,0.022914,3637331,1574601
100000,9,0.022930,3638069,1574955
100000,10,0.022941,3638395,1574900
