Array Size,Mean_Execution_Time,Std_Execution_Time,Mean_Comparisons,Std_Comparisons,Mean_Swaps,Std_Swaps
10000,0.0713,0.0005,25007455.7,156054.6867,24997465.6,156053.8794
20000,0.2849,0.0019,99956787.2,623921.5766,99936796.6,623921.7988
30000,0.6408,0.0024,224769223.3,902802.3192,224739235.1,902803.3237
40000,1.1403,0.004,399892403.9,1411371.8467,399852415.1,1411372.5053
50000,1.7835,0.004,625554640.7,1394190.9992,625504653.7,1394190.2219
60000,2.569,0.0082,899758071.8,2297005.3534,899698084.4,2297004.335
70000,3.5013,0.0091,1225696298.8,3101587.8094,1225626309.8,3101587.7615
80000,4.5712,0.0118,1601912003.3,4193439.1418,1601832015.3,4193437.7337
90000,5.7726,0.0095,2023899082.4,3431066.8744,2023809093.0,3431069.5391
100000,7.1268,0.0195,2498631147.1,6764348.6134,2498531158.6,6764349.1222
