Array Size,Mean_Execution_Time,Std_Execution_Time,Mean_Comparisons,Std_Comparisons,Mean_Swaps,Std_Swaps
10000,0.0018,0.0003,120458.7,70.9821,133616.0,0.0
20000,0.0031,0.0,260943.1,61.0563,287232.0,0.0
30000,0.0048,0.0,408588.4,120.8647,447232.0,0.0
40000,0.0066,0.0,561757.0,93.5343,614464.0,0.0
50000,0.0083,0.0,718169.8,96.1189,784464.0,0.0
60000,0.0102,0.0,877226.6,109.2817,954464.0,0.0
70000,0.012,0.0,1038913.5,175.1464,1128928.0,0.0
80000,0.0139,0.0,1203519.2,196.4981,1308928.0,0.0
90000,0.0157,0.0,1369433.9,209.0871,1488928.0,0.0
100000,0.0176,0.0,1536347.3,201.8839,1668928.0,0.0
