Array Size,Mean_Execution_Time,Std_Execution_Time,Mean_Comparisons,Std_Comparisons,Mean_Swaps,Std_Swaps
10000,0.0011,0.0,157651.4,9195.4619,92826.9,7553.8327
20000,0.0024,0.0001,338406.7,17981.5574,200963.6,17887.139
30000,0.0038,0.0001,536278.9,12846.4205,314581.1,22610.1575
40000,0.0052,0.0001,738161.2,27990.2052,423493.7,22485.0785
50000,0.0066,0.0001,938335.1,37111.6531,545307.0,31208.7991
60000,0.0081,0.0002,1160140.9,52396.2361,684753.8,56232.4074
70000,0.0096,0.0002,1358104.8,66757.1011,795298.5,29731.7859
80000,0.0112,0.0003,1593552.9,85055.9913,917999.6,73703.8845
90000,0.0125,0.0002,1776615.6,37126.9122,1004912.8,49209.1403
100000,0.0143,0.0004,2009456.6,95192.7216,1191475.3,86225.2966
