Array Size,Mean_Execution_Time,Std_Execution_Time,Mean_Comparisons,Std_Comparisons,Mean_Swaps,Std_Swaps
10000,0.1023,0.0,49995000.0,0.0,9991.3,2.2632
20000,0.4085,0.0002,199990000.0,0.0,19989.7,2.6687
30000,0.9216,0.0048,449985000.0,0.0,29988.8,2.8206
40000,1.6754,0.0327,799980000.0,0.0,39989.4,2.675
50000,2.6189,0.0532,1249975000.0,0.0,49988.2,2.8206
60000,3.8503,0.0028,1799970000.0,0.0,59988.2,2.8983
70000,5.0814,0.0695,2449965000.0,0.0,69986.9,4.0947
80000,6.7833,0.0785,3199960000.0,0.0,79985.9,3.1429
90000,8.5219,0.148,4049955000.0,0.0,89987.7,2.5841
100000,10.2558,0.0478,4999950000.0,0.0,99987.5,3.9791
