Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.102321,49995000,9993
10000,2,0.102312,49995000,9990
10000,3,0.102323,49995000,9991
10000,4,0.102309,49995000,9993
10000,5,0.102337,49995000,9996
10000,6,0.102318,49995000,9989
10000,7,0.102315,49995000,9988
10000,8,0.102298,49995000,9991
10000,9,0.102353,49995000,9991
10000,10,0.102299,49995000,9991
20000,1,0.408453,199990000,19990
20000,2,0.408445,199990000,19986
20000,3,0.408389,199990000,19990
20000,4,0.408436,199990000,19993
20000,5,0.408449,199990000,19993
20000,6,0.408434,199990000,19991
20000,7,0.408492,199990000,19991
20000,8,0.409218,199990000,19990
20000,9,0.408467,199990000,19988
20000,10,0.408412,199990000,19985
30000,1,0.918408,449985000,29985
30000,2,0.918484,449985000,29985
30000,3,0.919254,449985000,29991
30000,4,0.918752,449985000,29991
30000,5,0.918377,449985000,29992
30000,6,0.918405,449985000,29990
30000,7,0.918420,449985000,29986
30000,8,0.927598,449985000,29992
30000,9,0.928929,449985000,29987
30000,10,0.929090,449985000,29989
40000,1,1.652832,799980000,39988
40000,2,1.651313,799980000,39990
40000,3,1.652992,799980000,39988
40000,4,1.661320,799980000,39989
40000,5,1.637257,799980000,39993
40000,6,1.647185,799980000,39988
40000,7,1.712701,799980000,39988
40000,8,1.712918,799980000,39989
40000,9,1.713386,799980000,39986
40000,10,1.712391,799980000,39995
50000,1,2.674212,1249975000,49986
50000,2,2.674992,1249975000,49993
50000,3,2.675947,1249975000,49989
50000,4,2.674631,1249975000,49986
50000,5,2.643189,1249975000,49989
50000,6,2.567317,1249975000,49986
50000,7,2.569491,1249975000,49990
50000,8,2.572158,1249975000,49992
50000,9,2.568833,1249975000,49986
50000,10,2.568520,1249975000,49985
60000,1,3.847951,1799970000,59988
60000,2,3.843347,1799970000,59990
60000,3,3.850592,1799970000,59988
60000,4,3.850364,1799970000,59986
60000,5,3.851955,1799970000,59989
60000,6,3.851749,1799970000,59990
60000,7,3.850838,1799970000,59982
60000,8,3.852369,1799970000,59989
60000,9,3.852208,1799970000,59987
60000,10,3.851412,1799970000,59993
70000,1,5.044945,2449965000,69979
70000,2,5.065377,2449965000,69981
70000,3,5.267804,2449965000,69985
70000,4,5.116952,2449965000,69988
70000,5,5.022684,2449965000,69990
70000,6,5.056231,2449965000,69987
70000,7,5.055604,2449965000,69991
70000,8,5.063252,2449965000,69989
70000,9,5.061221,2449965000,69991
70000,10,5.060361,2449965000,69988
80000,1,6.789951,3199960000,79979
80000,2,6.849581,3199960000,79986
80000,3,6.775764,3199960000,79989
80000,4,6.626053,3199960000,79985
80000,5,6.667431,3199960000,79986
80000,6,6.849133,3199960000,79986
80000,7,6.847108,3199960000,79987
80000,8,6.847975,3199960000,79983
80000,9,6.799921,3199960000,79988
80000,10,6.779697,3199960000,79990
90000,1,8.309968,4049955000,89987
90000,2,8.358811,4049955000,89987
90000,3,8.633853,4049955000,89984
90000,4,8.457737,4049955000,89990
90000,5,8.386096,4049955000,89986
90000,6,8.418928,4049955000,89989
90000,7,8.660908,4049955000,89988
90000,8,8.663592,4049955000,89985
90000,9,8.664266,4049955000,89993
90000,10,8.664412,4049955000,89988
100000,1,10.206691,4999950000,99984
100000,2,10.254125,4999950000,99985
100000,3,10.217461,4999950000,99981
100000,4,10.361329,4999950000,99985
100000,5,10.204462,4999950000,99991
100000,6,10.260667,4999950000,99991
100000,7,10.261870,4999950000,99985
100000,8,10.253345,4999950000,99991
100000,9,10.233413,4999950000,99989
100000,10,10.304386,4999950000,99993
