Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.071149,24935173,24925183
10000,2,0.071835,25213146,25203157
10000,3,0.070905,24897506,24887520
10000,4,0.070525,24766350,24756359
10000,5,0.071507,25120361,25110368
10000,6,0.071414,25080723,25070738
10000,7,0.071190,24971482,24961492
10000,8,0.070882,24892243,24882254
10000,9,0.072043,25260120,25250125
10000,10,0.071095,24937453,24927460
20000,1,0.283520,99584835,99564844
20000,2,0.284352,99895107,99875120
20000,3,0.288710,101042632,101022644
20000,4,0.284283,99680892,99660901
20000,5,0.284588,99889661,99869668
20000,6,0.283592,99544112,99524120
20000,7,0.285869,100347976,100327984
20000,8,0.283311,99482112,99462123
20000,9,0.287478,100926498,100906506
20000,10,0.282803,99174047,99154056
30000,1,0.641620,225188706,225158715
30000,2,0.642563,225490265,225460282
30000,3,0.637921,223855088,223825097
30000,4,0.643456,225821922,225791932
30000,5,0.636908,223532633,223502645
30000,6,0.643728,225860425,225830440
30000,7,0.638828,223980461,223950477
30000,8,0.642179,225382456,225352470
30000,9,0.641988,224799384,224769392
30000,10,0.639144,223780893,223750901
40000,1,1.135048,397778900,397738910
40000,2,1.138318,399278308,399238324
40000,3,1.138981,399599026,399559040
40000,4,1.135755,398349085,398309093
40000,5,1.141360,400232732,400192746
40000,6,1.143541,401104204,401064213
40000,7,1.137225,398925719,398885727
40000,8,1.141431,400376785,400336795
40000,9,1.142743,400702420,400662430
40000,10,1.148292,402576860,402536873
50000,1,1.782693,625337718,625287735
50000,2,1.783462,625584622,625534633
50000,3,1.779090,624018585,623968603
50000,4,1.787875,627156689,627106701
50000,5,1.779839,624258057,624208071
50000,6,1.786661,626586720,626536730
50000,7,1.782241,624995408,624945424
50000,8,1.786622,626511145,626461154
50000,9,1.789228,627615844,627565858
50000,10,1.777460,623481619,623431628
60000,1,2.556205,896231773,896171794
60000,2,2.577901,904180222,904120237
60000,3,2.569229,901037892,900977904
60000,4,2.566185,899927577,899867586
60000,5,2.560435,898009520,897949534
60000,6,2.562706,898804285,898744296
60000,7,2.566944,898295033,898235047
60000,8,2.576153,899829693,899769703
60000,9,2.572410,898873425,898813433
60000,10,2.581947,902391298,902331310
70000,1,3.515535,1229796522,1229726528
70000,2,3.501775,1225191782,1225121791
70000,3,3.508206,1227638752,1227568764
70000,4,3.485791,1220086733,1220016742
70000,5,3.487769,1220921382,1220851391
70000,6,3.504865,1227108120,1227038135
70000,7,3.496532,1224663652,1224593668
70000,8,3.507061,1228116079,1228046086
70000,9,3.504244,1227200232,1227130245
70000,10,3.500825,1226239734,1226169748
80000,1,4.593144,1609185023,1609105030
80000,2,4.568808,1600672014,1600592023
80000,3,4.566108,1599539971,1599459986
80000,4,4.558057,1597147438,1597067454
80000,5,4.563174,1599020298,1598940309
80000,6,4.557874,1597327410,1597247425
80000,7,4.575461,1603734553,1603654571
80000,8,4.574015,1603083149,1603003161
80000,9,4.566850,1601111622,1601031627
80000,10,4.588187,1608298555,1608218567
90000,1,5.764166,2020581289,2020491296
90000,2,5.773472,2023612339,2023522354
90000,3,5.767905,2022851997,2022762007
90000,4,5.764564,2021400582,2021310590
90000,5,5.792513,2030807208,2030717222
90000,6,5.782015,2027647555,2027557571
90000,7,5.780397,2027033857,2026943868
90000,8,5.767189,2022104319,2022014330
90000,9,5.767614,2022167092,2022077101
90000,10,5.765719,2020784586,2020694591
100000,1,7.140209,2503420962,2503320972
100000,2,7.116745,2495276930,2495176940
100000,3,7.110469,2493085443,2492985456
100000,4,7.157310,2509434468,2509334482
100000,5,7.109150,2492440783,2492340790
100000,6,7.112386,2493341499,2493241513
100000,7,7.159106,2509452641,2509352653
100000,8,7.109267,2492524143,2492424154
100000,9,7.132644,2500840341,2500740351
100000,10,7.120928,2496494261,2496394275
