Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.001204,169285,105264
10000,2,0.001142,156518,94678
10000,3,0.001143,161644,97728
10000,4,0.001185,167049,105093
10000,5,0.001155,161450,96576
10000,6,0.001165,163806,94686
10000,7,0.001168,169546,93141
10000,8,0.001165,162873,97748
10000,9,0.001167,161113,96661
10000,10,0.001136,156473,93233
20000,1,0.002546,382550,230321
20000,2,0.002455,353254,204687
20000,3,0.002454,351816,213020
20000,4,0.002443,345234,202387
20000,5,0.002476,350348,211108
20000,6,0.002587,366290,245529
20000,7,0.002415,340573,201463
20000,8,0.002445,352976,201340
20000,9,0.002516,357356,218613
20000,10,0.002464,350131,210608
30000,1,0.004126,620761,407679
30000,2,0.003909,582105,342105
30000,3,0.003795,546185,319431
30000,4,0.003880,563244,336284
30000,5,0.003954,596751,341799
30000,6,0.003925,565535,347866
30000,7,0.003833,569663,329590
30000,8,0.004020,578976,363444
30000,9,0.003895,560562,331790
30000,10,0.003786,547608,313135
40000,1,0.005526,818738,519615
40000,2,0.005408,807596,467496
40000,3,0.005350,754135,471591
40000,4,0.005174,753816,417998
40000,5,0.005326,759796,447098
40000,6,0.005255,754682,466591
40000,7,0.005592,810883,517818
40000,8,0.005176,757673,428785
40000,9,0.005439,777195,506496
40000,10,0.005321,783449,452832
50000,1,0.006963,1045356,639597
50000,2,0.006862,998860,597028
50000,3,0.007055,1030895,670440
50000,4,0.006769,962622,600732
50000,5,0.006734,963996,573713
50000,6,0.006729,975686,587407
50000,7,0.006705,975957,544205
50000,8,0.006825,990628,583050
50000,9,0.006701,976791,561325
50000,10,0.006799,1009157,553826
60000,1,0.008179,1172166,711910
60000,2,0.008356,1228758,718310
60000,3,0.008344,1216155,738999
60000,4,0.008253,1235343,681034
60000,5,0.008047,1163931,648555
60000,6,0.008277,1223089,724755
60000,7,0.008290,1215762,703558
60000,8,0.008378,1221891,741749
60000,9,0.008266,1194227,702630
60000,10,0.008242,1223744,700914
70000,1,0.009871,1418853,877292
70000,2,0.009848,1462906,843305
70000,3,0.010020,1482441,888909
70000,4,0.009792,1446030,828963
70000,5,0.009667,1384013,833610
70000,6,0.009599,1396152,800604
70000,7,0.010044,1446608,908175
70000,8,0.009560,1378250,781018
70000,9,0.009503,1338301,774846
70000,10,0.009922,1466943,888159
80000,1,0.011200,1622973,925337
80000,2,0.011186,1619830,980362
80000,3,0.011571,1713146,993008
80000,4,0.011125,1665293,933036
80000,5,0.011278,1646190,948467
80000,6,0.011390,1714959,981506
80000,7,0.011326,1675859,933201
80000,8,0.011246,1631703,977485
80000,9,0.011007,1568790,894477
80000,10,0.011469,1658132,1039991
90000,1,0.012602,1799253,1065069
90000,2,0.013489,2080870,1206346
90000,3,0.012970,1884967,1120913
90000,4,0.012819,1859214,1109109
90000,5,0.012937,1877223,1148700
90000,6,0.013127,1924631,1165605
90000,7,0.012858,1882622,1115657
90000,8,0.012771,1882253,1125938
90000,9,0.014001,2111055,1349726
90000,10,0.013032,1912685,1178598
100000,1,0.014539,2194811,1252793
100000,2,0.014588,2088788,1299020
100000,3,0.014431,2149732,1260639
100000,4,0.014200,2059329,1172785
100000,5,0.014400,2069191,1253577
100000,6,0.014511,2131639,1266629
100000,7,0.014594,2071548,1323767
100000,8,0.014689,2107387,1294029
100000,9,0.014430,2096461,1265348
100000,10,0.014462,2059404,1280344
